GEO_ID,NAME,P005001,P005002,P005003,P005004,P005005,P005006,P005007,P005008,P005009,P005010,P005011,P005012,P005013,P005014,P005015,P005016,P005017
id,Geographic Area Name,Total,Total!!Not Hispanic or Latino,Total!!Not Hispanic or Latino!!White alone,Total!!Not Hispanic or Latino!!Black or African American alone,Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Total!!Not Hispanic or Latino!!Asian alone,Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Total!!Not Hispanic or Latino!!Some Other Race alone,Total!!Not Hispanic or Latino!!Two or More Races,Total!!Hispanic or Latino,Total!!Hispanic or Latino!!White alone,Total!!Hispanic or Latino!!Black or African American alone,Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Total!!Hispanic or Latino!!Asian alone,Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Total!!Hispanic or Latino!!Some Other Race alone,Total!!Hispanic or Latino!!Two or More Races
1400000US48453002310,"Census Tract 23.10, Travis County, Texas",3242,710,409,247,11,9,0,3,31,2532,1258,35,52,2,10,1064,111
1400000US48479001401,"Census Tract 14.01, Webb County, Texas",3857,96,93,0,1,0,0,0,2,3761,3128,5,19,3,0,538,68
1400000US48371950100,"Census Tract 9501, Pecos County, Texas",2383,1124,1062,28,21,3,2,3,5,1259,876,22,11,0,0,305,45
1400000US48439110302,"Census Tract 1103.02, Tarrant County, Texas",5044,2209,1817,88,22,208,9,9,56,2835,1451,10,47,2,0,1160,165
1400000US48323950700,"Census Tract 9507, Maverick County, Texas",9412,534,463,10,16,33,0,3,9,8878,8314,7,25,5,1,433,93
1400000US48355006100,"Census Tract 61, Nueces County, Texas",3392,1095,1025,41,13,8,0,1,7,2297,1892,27,14,2,0,307,55
1400000US48029181721,"Census Tract 1817.21, Bexar County, Texas",3508,1577,1215,213,5,104,1,5,34,1931,1411,15,17,22,0,401,65
1400000US48029150700,"Census Tract 1507, Bexar County, Texas",6162,356,325,10,5,3,2,3,8,5806,4052,30,38,7,0,1541,138
1400000US48141002500,"Census Tract 25, El Paso County, Texas",6084,632,553,36,7,10,2,5,19,5452,4540,16,34,5,0,734,123
1400000US48113018110,"Census Tract 181.10, Dallas County, Texas",4813,4355,3765,383,19,137,1,6,44,458,282,7,5,3,0,143,18
1400000US48121021728,"Census Tract 217.28, Denton County, Texas",1710,763,702,17,3,6,3,2,30,947,668,2,4,0,0,239,34
1400000US48113019212,"Census Tract 192.12, Dallas County, Texas",3697,246,62,156,3,4,0,7,14,3451,1542,26,80,0,0,1657,146
1400000US48339691400,"Census Tract 6914, Montgomery County, Texas",8644,7346,6324,454,23,382,6,14,143,1298,922,21,10,6,1,263,75
1400000US48041000300,"Census Tract 3, Brazos County, Texas",7211,3661,2268,1271,12,22,0,4,84,3550,2125,33,23,3,0,1235,131
1400000US48201542600,"Census Tract 5426, Harris County, Texas",4393,2724,1925,501,9,217,2,9,61,1669,1114,21,15,7,0,438,74
1400000US48113012206,"Census Tract 122.06, Dallas County, Texas",4605,3201,1097,1972,13,49,0,1,69,1404,698,13,15,0,0,637,41
1400000US48439113302,"Census Tract 1133.02, Tarrant County, Texas",4060,2992,2663,119,32,65,29,4,80,1068,505,1,12,0,0,452,98
1400000US48029181817,"Census Tract 1818.17, Bexar County, Texas",3025,1493,1082,123,9,220,1,2,56,1532,1206,6,11,7,5,238,59
1400000US48439113815,"Census Tract 1138.15, Tarrant County, Texas",5659,5298,4841,118,26,195,5,6,107,361,268,3,1,5,0,45,39
1400000US48029171301,"Census Tract 1713.01, Bexar County, Texas",2906,101,83,7,1,2,1,5,2,2805,2123,8,36,0,0,570,68
1400000US48061010700,"Census Tract 107, Cameron County, Texas",3268,643,598,27,0,11,0,1,6,2625,2334,14,6,5,0,230,36
1400000US48141004309,"Census Tract 43.09, El Paso County, Texas",4796,857,645,123,10,52,1,3,23,3939,3399,20,19,4,0,407,90
1400000US48201552800,"Census Tract 5528, Harris County, Texas",8826,7837,6401,809,25,470,2,13,117,989,560,20,20,2,3,326,58
1400000US48439122002,"Census Tract 1220.02, Tarrant County, Texas",4815,1466,830,452,19,126,0,0,39,3349,1899,33,56,3,0,1250,108
1400000US48441012200,"Census Tract 122, Taylor County, Texas",2229,1544,1392,99,8,23,0,1,21,685,333,13,1,4,0,311,23
1400000US48491020115,"Census Tract 201.15, Williamson County, Texas",2576,2331,2211,15,8,50,1,1,45,245,182,6,2,3,0,41,11
1400000US48113017301,"Census Tract 173.01, Dallas County, Texas",6158,3582,1913,1465,20,84,0,15,85,2576,1261,38,53,0,0,1106,118
1400000US48467950300,"Census Tract 9503, Van Zandt County, Texas",4749,4431,4152,182,28,6,0,3,60,318,149,5,13,0,0,138,13
1400000US48201312200,"Census Tract 3122, Harris County, Texas",2058,1655,45,1589,0,9,0,1,11,403,130,21,7,0,0,223,22
1400000US48185180301,"Census Tract 1803.01, Grimes County, Texas",4934,4462,4132,236,26,11,1,0,56,472,260,3,9,1,0,167,32
